"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size","Param: strSize"
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1448558.361155,20628.017238,"ops/s",10,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1761112.537712,11547.000935,"ops/s",10,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1890063.539453,11330.374970,"ops/s",10,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1867639.411327,24852.655747,"ops/s",10,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,305643.546549,1510.597488,"ops/s",50,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,422434.499305,3517.473818,"ops/s",50,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,427168.411536,1916.690319,"ops/s",50,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,321307.905399,1791.377292,"ops/s",50,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,131432.708787,766.835897,"ops/s",100,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,222314.133606,1287.720190,"ops/s",100,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,216606.312184,946.825933,"ops/s",100,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,156892.130763,1244.206877,"ops/s",100,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,26912.624863,162.814739,"ops/s",500,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,45189.533661,218.399749,"ops/s",500,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,34373.281228,120.375473,"ops/s",500,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,33343.323814,315.058752,"ops/s",500,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,11723.485422,56.556445,"ops/s",1000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,22865.873969,113.644001,"ops/s",1000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,17357.407288,199.186670,"ops/s",1000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,16779.560249,91.705226,"ops/s",1000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1933.822019,11.228540,"ops/s",5000,0
